"Size of Genes"	"Total"
"1-100"	258
"101-200"	237
"201-300"	340
"301-400"	321
"401-500"	313
"501-600"	314
"601-700"	319
"701-800"	338
"801-900"	321
"901-1000"	339
"1001-1100"	239
"1101-1200"	232
"1201-1300"	211
"1301-1400"	186
"1401-1500"	159
"1501-1600"	101
"1601-1700"	93
"1701-1800"	50
"1801-1900"	44
"1901-2000"	40
"2001-2100"	34
"2101-2200"	37
"2201-2300"	32
"2301-2400"	21
"2401-2500"	20
"2501-2600"	16
"2601-2700"	25
"2701-2800"	9
"2801-2900"	11
"2901-3000"	9
"3001-3100"	7
"3101-3200"	9
"3201-3300"	2
"3301-3400"	5
"3401-3500"	3
"3501-3600"	4
"3601-3700"	2
"3701-3800"	4
"3801-3900"	3
"3901-4000"	3
"4001-4100"	1
"4101-4200"	2
"4201-4300"	3
"4401-4500"	2
"4501-4600"	2
"4601-4700"	2
"4901-5000"	1
"5401-5500"	1
"7001-7100"	1
