"Class Biological Process"	"Total of Genes"
"GO:0055085 - transmembrane transport"	390
"GO:0006355 - regulation of DNA-templated transcription"	313
"GO:0006974 - DNA damage response"	253
"GO:0016310 - phosphorylation"	170
"GO:0008152 - metabolic process"	132
"GO:0006412 - translation"	127
"GO:0006351 - DNA-templated transcription"	122
"GO:0045892 - negative regulation of DNA-templated transcription"	120
"GO:0071702 - organic substance transport"	119
"GO:0006811 - monoatomic ion transport"	118
"GO:0006310 - DNA recombination"	117
"GO:0008652 - amino acid biosynthetic process"	107
"GO:0046677 - response to antibiotic"	104
"GO:0005975 - carbohydrate metabolic process"	103
"GO:0006508 - proteolysis"	93
"GO:0006865 - amino acid transport"	90
"GO:0006281 - DNA repair"	83
"GO:0045893 - positive regulation of DNA-templated transcription"	79
"GO:0071555 - cell wall organization"	78
"GO:0006629 - lipid metabolic process"	77
"GO:0051301 - cell division"	77
"GO:0000160 - phosphorelay signal transduction system"	74
"GO:0009061 - anaerobic respiration"	70
"GO:0015031 - protein transport"	69
"GO:0009103 - lipopolysaccharide biosynthetic process"	68
"GO:0007049 - cell cycle"	66
"GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system"	61
"GO:0032196 - transposition"	61
"GO:0009408 - response to heat"	60
"GO:0006313 - DNA transposition"	59
"GO:0008033 - tRNA processing"	59
"GO:0032259 - methylation"	58
"GO:0044010 - single-species biofilm formation"	56
"GO:0002181 - cytoplasmic translation"	55
"GO:0006979 - response to oxidative stress"	55
"GO:1902600 - proton transmembrane transport"	54
"GO:0051289 - protein homotetramerization"	52
"GO:0008360 - regulation of cell shape"	51
"GO:0009252 - peptidoglycan biosynthetic process"	51
"GO:0009058 - biosynthetic process"	48
"GO:0006260 - DNA replication"	46
"GO:0009314 - response to radiation"	46
"GO:0015833 - peptide transport"	46
"GO:0019645 - anaerobic electron transport chain"	46
"GO:0007155 - cell adhesion"	45
"GO:0043709 - cell adhesion involved in single-species biofilm formation"	45
"GO:0006364 - rRNA processing"	41
"GO:0007165 - signal transduction"	41
"GO:0015074 - DNA integration"	38
"GO:0071973 - bacterial-type flagellum-dependent cell motility"	38
"GO:1902201 - negative regulation of bacterial-type flagellum-dependent cell motility"	38
"GO:0006935 - chemotaxis"	37
"GO:0043093 - FtsZ-dependent cytokinesis"	34
"GO:0006457 - protein folding"	33
"GO:0006631 - fatty acid metabolic process"	33
"GO:0006826 - iron ion transport"	32
"GO:0061077 - chaperone-mediated protein folding"	32
"GO:0006879 - intracellular iron ion homeostasis"	31
"GO:0006099 - tricarboxylic acid cycle"	30
"GO:0006417 - regulation of translation"	30
"GO:0006950 - response to stress"	30
"GO:0009432 - SOS response"	30
"GO:0006520 - amino acid metabolic process"	29
"GO:0034220 - monoatomic ion transmembrane transport"	29
"GO:0000027 - ribosomal large subunit assembly"	28
"GO:0009636 - response to toxic substance"	28
"GO:0046777 - protein autophosphorylation"	28
"GO:0000270 - peptidoglycan metabolic process"	27
"GO:0003333 - amino acid transmembrane transport"	27
"GO:0018106 - peptidyl-histidine phosphorylation"	26
"GO:0042128 - nitrate assimilation"	26
"GO:0042254 - ribosome biogenesis"	26
"GO:0046835 - carbohydrate phosphorylation"	26
"GO:0006396 - RNA processing"	25
"GO:0009060 - aerobic respiration"	25
"GO:0009244 - lipopolysaccharide core region biosynthetic process"	25
"GO:0009410 - response to xenobiotic stimulus"	25
"GO:0022904 - respiratory electron transport chain"	25
