"Class Cellular Component"	"Total of Genes"
"GO:0005829 - cytosol"	2540
"GO:0016020 - membrane"	1482
"GO:0005886 - plasma membrane"	1311
"GO:0005737 - cytoplasm"	1067
"GO:0030288 - outer membrane-bounded periplasmic space"	299
"GO:0042597 - periplasmic space"	184
"GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"	149
"GO:0009279 - cell outer membrane"	138
"GO:0043190 - ATP-binding cassette (ABC) transporter complex"	130
"GO:0032991 - protein-containing complex"	91
"GO:0005576 - extracellular region"	61
"GO:0005840 - ribosome"	59
"GO:1990904 - ribonucleoprotein complex"	58
"GO:0032993 - protein-DNA complex"	48
"GO:0022625 - cytosolic large ribosomal subunit"	47
"GO:1902495 - transmembrane transporter complex"	43
"GO:0009289 - pilus"	37
"GO:0032153 - cell division site"	34
"GO:0019867 - outer membrane"	33
"GO:0009288 - bacterial-type flagellum"	31
"GO:0022627 - cytosolic small ribosomal subunit"	30
"GO:0110165 - cellular anatomical entity"	27
"GO:0110001 - toxin-antitoxin complex"	24
"GO:0009898 - cytoplasmic side of plasma membrane"	22
"GO:0009326 - formate dehydrogenase complex"	19
"GO:0009425 - bacterial-type flagellum basal body"	18
"GO:0046930 - pore complex"	18
"GO:0009295 - nucleoid"	16
"GO:0043590 - bacterial nucleoid"	16
"GO:0045272 - plasma membrane respiratory chain complex I"	16
"GO:0098567 - periplasmic side of plasma membrane"	16
"GO:0030894 - replisome"	15
"GO:0044569 - [Ni-Fe] hydrogenase complex"	15
"GO:0005667 - transcription regulator complex"	14
"GO:0015627 - type II protein secretion system complex"	14
"GO:0030964 - NADH dehydrogenase complex"	14
"GO:1990281 - efflux pump complex"	14
"GO:0031469 - bacterial microcompartment"	13
"GO:0045271 - respiratory chain complex I"	13
"GO:1990586 - divisome complex"	12
"GO:0000345 - cytosolic DNA-directed RNA polymerase complex"	11
"GO:0015935 - small ribosomal subunit"	11
"GO:0060187 - cell pole"	11
"GO:0098797 - plasma membrane protein complex"	11
"GO:0015934 - large ribosomal subunit"	10
"GO:1902494 - catalytic complex"	10
"GO:1990228 - sulfurtransferase complex"	10
"GO:1990351 - transporter complex"	10
"GO:0009360 - DNA polymerase III complex"	9
"GO:0030257 - type III protein secretion system complex"	9
"GO:0120102 - bacterial-type flagellum secretion apparatus"	9
"GO:0005694 - chromosome"	8
"GO:0008023 - transcription elongation factor complex"	8
"GO:0009276 - Gram-negative-bacterium-type cell wall"	8
"GO:0009325 - nitrate reductase complex"	8
"GO:0031522 - cell envelope Sec protein transport complex"	8
"GO:0045259 - proton-transporting ATP synthase complex"	8
"GO:1903103 - potassium:proton antiporter complex"	8
"GO:1990077 - primosome complex"	8
