"Class Molecular Function"	"Total of Genes"
"GO:0005515 - protein binding"	1237
"GO:0046872 - metal ion binding"	710
"GO:0016740 - transferase activity"	585
"GO:0000166 - nucleotide binding"	526
"GO:0003677 - DNA binding"	523
"GO:0042802 - identical protein binding"	505
"GO:0016787 - hydrolase activity"	493
"GO:0005524 - ATP binding"	447
"GO:0016491 - oxidoreductase activity"	360
"GO:0042803 - protein homodimerization activity"	344
"GO:0003824 - catalytic activity"	325
"GO:0022857 - transmembrane transporter activity"	207
"GO:0003700 - DNA-binding transcription factor activity"	200
"GO:0000287 - magnesium ion binding"	192
"GO:0016829 - lyase activity"	174
"GO:0016301 - kinase activity"	168
"GO:0016887 - ATP hydrolysis activity"	167
"GO:0008270 - zinc ion binding"	166
"GO:0003723 - RNA binding"	163
"GO:0051536 - iron-sulfur cluster binding"	146
"GO:0051539 - 4 iron, 4 sulfur cluster binding"	121
"GO:0016853 - isomerase activity"	114
"GO:0003676 - nucleic acid binding"	98
"GO:0016874 - ligase activity"	95
"GO:0043565 - sequence-specific DNA binding"	91
"GO:0000976 - transcription cis-regulatory region binding"	90
"GO:0008233 - peptidase activity"	87
"GO:0030533 - triplet codon-amino acid adaptor activity"	86
"GO:0004518 - nuclease activity"	75
"GO:0009055 - electron transfer activity"	72
"GO:0016746 - acyltransferase activity"	71
"GO:0016757 - glycosyltransferase activity"	69
"GO:0050660 - flavin adenine dinucleotide binding"	66
"GO:0015293 - symporter activity"	64
"GO:0008168 - methyltransferase activity"	63
"GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	63
"GO:0030170 - pyridoxal phosphate binding"	61
"GO:0019843 - rRNA binding"	60
"GO:0030145 - manganese ion binding"	59
"GO:0005525 - GTP binding"	58
"GO:0003729 - mRNA binding"	57
"GO:0003735 - structural constituent of ribosome"	57
"GO:0005506 - iron ion binding"	57
"GO:0004519 - endonuclease activity"	52
"GO:0016772 - transferase activity, transferring phosphorus-containing groups"	52
"GO:0000049 - tRNA binding"	51
"GO:0004803 - transposase activity"	50
"GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups"	49
"GO:0016779 - nucleotidyltransferase activity"	49
"GO:0051287 - NAD binding"	42
"GO:0016798 - hydrolase activity, acting on glycosyl bonds"	40
"GO:0020037 - heme binding"	39
"GO:0010181 - FMN binding"	38
"GO:0051537 - 2 iron, 2 sulfur cluster binding"	36
"GO:0097216 - guanosine tetraphosphate binding"	35
"GO:0008237 - metallopeptidase activity"	33
"GO:0015297 - antiporter activity"	33
